ids,predicted
14061,0
16467,0
25725,1
9100,0
32597,0
12156,1
2908,1
38379,0
38263,1
22142,1
18682,1
30513,1
573,1
25191,0
13948,1
34343,0
21345,0
37655,1
6014,0
13765,0
3182,0
8361,0
25144,1
29199,1
18241,0
8098,1
24576,0
21636,1
26330,1
12803,0
12848,1
37276,1
29855,1
24145,1
16680,0
18307,1
32605,1
3611,0
29300,0
38283,1
20512,1
14651,0
23312,0
5253,1
28757,0
5897,0
22489,0
8114,0
22440,1
3100,0
27024,1
7777,1
14173,1
688,0
6275,0
39149,1
862,1
26366,1
38652,1
37203,0
16558,1
10343,0
2813,1
20745,0
18482,1
20604,0
14256,0
25083,1
37507,0
5016,0
1471,1
4232,1
13322,1
36953,1
12435,1
33090,0
16034,1
24410,0
4358,1
25274,0
14915,0
10348,0
24949,1
8973,1
29334,1
35718,1
27746,0
13715,1
24481,0
14381,1
12143,0
4525,1
21116,1
19947,1
9595,1
3203,1
960,1
11416,0
30305,0
16390,0
31219,1
15807,1
33847,1
18262,1
35862,1
35613,0
7639,0
35979,1
3861,1
24598,1
11087,0
9554,0
20281,0
29879,0
11309,0
17477,0
27015,0
10021,1
13587,1
21076,1
1773,1
21608,0
28803,1
28576,0
1023,1
4594,1
22069,0
19018,1
20855,1
19464,1
1363,0
20290,0
31307,0
38498,1
4810,0
4636,1
781,0
3392,1
20464,0
20096,1
27771,1
3374,1
19930,1
8866,1
21069,1
19627,1
29306,0
1605,0
32922,0
39085,0
14919,1
36805,0
13505,1
8669,1
31480,1
19198,1
28966,1
25040,0
27095,0
13621,0
27492,1
16875,1
26670,1
36878,1
19109,0
38005,1
11155,1
5621,1
21826,1
34333,0
2977,1
27396,1
19429,1
13238,1
9867,1
24555,1
4780,0
20624,1
35327,0
17918,0
18019,1
16770,0
5858,0
15115,0
12607,1
5034,1
2671,1
12963,0
17729,1
34153,1
10125,0
22671,1
23289,1
36630,1
35928,1
33477,1
13654,1
22488,1
14730,1
8864,0
21248,1
36042,1
19352,0
28028,0
18763,1
634,1
34624,1
17164,1
4576,1
33613,1
26243,1
30024,0
28722,1
21858,1
38646,0
2544,1
20270,0
350,0
36555,1
16113,1
17440,1
4319,1
25599,1
10391,1
34375,1
6254,1
5986,1
33649,1
13903,1
31379,1
28076,0
30070,0
8705,1
8031,1
34286,1
29592,1
30710,0
1998,1
13892,1
38630,1
38235,1
15315,1
15520,1
25808,1
6987,0
10161,1
6889,1
3796,1
817,0
28239,0
19301,1
38885,0
20774,1
23592,1
19746,1
3746,0
19337,0
12135,1
18449,1
2820,0
34961,1
6115,1
11742,1
22877,1
751,1
10397,0
3433,0
34505,1
10515,0
29783,1
6878,1
10533,1
13056,0
25816,1
13020,1
11287,0
10874,1
20204,0
10345,1
24910,1
10578,1
38177,1
29227,1
25250,1
22791,0
12730,0
37639,0
27683,1
8378,0
34057,1
30758,1
21719,1
7453,1
37248,0
29242,1
22501,0
35829,1
11016,1
8898,1
31930,0
11912,0
11109,1
12310,0
23150,0
32692,0
20735,1
37093,1
27070,1
30132,0
28702,0
27769,1
29715,1
32318,1
33102,1
18118,1
27903,1
19042,1
26080,0
11332,1
11849,1
1062,1
37709,1
8896,0
33014,0
34872,1
31220,1
36407,0
23697,1
20506,1
25423,1
11983,1
14466,1
12078,0
5387,1
29226,1
23370,0
33601,1
18194,1
9605,0
30238,0
18436,0
32440,1
3319,1
1032,0
36519,0
36915,0
24988,0
15551,0
3252,0
36680,0
28434,0
22251,0
8988,1
21317,1
7346,1
30852,0
23496,1
14307,0
9545,0
15267,0
26871,1
23575,1
31298,0
19735,0
3801,0
14159,1
1883,1
33746,0
10522,0
3306,0
38075,0
15305,1
36946,1
36742,1
17209,1
31192,1
15244,1
15201,1
35019,0
35478,1
21430,0
8534,0
23053,0
84,1
9973,1
24161,1
21815,1
11456,1
11055,0
16743,0
18991,0
10552,0
18239,1
15478,0
22964,1
11812,1
19268,0
27587,0
4197,0
29682,0
32446,0
4187,1
21975,1
7090,1
15523,1
2596,0
31497,1
31363,0
8859,1
25198,1
38469,0
28248,1
16756,1
605,0
11074,0
33229,0
10435,1
11249,0
13619,0
11508,1
12909,1
29216,0
10823,0
14764,1
5360,1
10739,1
35607,1
31044,0
33737,1
17957,1
29963,1
37775,1
21381,1
14722,1
11528,1
10967,0
8319,1
32700,1
35308,1
35484,1
2483,1
31820,1
25133,0
10728,0
30067,1
33487,1
23199,0
18326,1
28189,0
3106,0
22424,1
28288,1
10723,1
8358,0
8486,0
9837,0
2492,1
15643,1
6377,1
32294,1
19927,1
22387,1
35069,0
30130,0
9253,1
957,1
11443,1
6593,0
26112,0
17609,0
1576,1
21352,0
13853,1
16542,0
29532,0
32487,1
14434,1
20854,1
13817,0
18260,0
13590,0
5981,0
38979,1
9201,0
33851,1
28065,1
3001,0
10454,1
33043,1
34923,0
20994,1
22256,1
27066,1
33288,1
22158,0
18108,1
38969,1
29964,1
27264,1
16955,0
24615,1
6643,0
30346,0
12705,1
20830,1
38616,0
10949,0
18011,1
37918,1
32785,0
225,0
9041,1
28931,0
22893,1
19824,1
25407,0
19292,1
25503,1
24457,1
25830,0
2273,1
28216,0
22134,1
37508,1
32569,1
12794,0
24594,1
38687,1
12415,1
25433,1
27242,1
33426,0
11283,0
34870,1
28135,1
6352,0
37817,1
2529,1
26624,0
4516,1
36882,1
8411,0
13403,0
35104,0
24461,1
10628,1
34847,1
38234,0
15326,1
5483,1
9275,0
25151,1
31217,0
15542,0
16216,1
11354,1
22738,0
15684,1
27265,0
3165,1
12828,0
38292,1
33354,0
8386,1
35432,0
7543,1
22773,0
31355,1
27976,1
13070,1
22519,1
20805,0
9529,0
25155,1
35740,1
2167,1
37381,0
5214,1
38510,1
4622,1
26067,0
37717,1
29308,0
10894,1
31774,1
22902,1
22944,1
32662,1
20258,1
35673,1
9007,0
5056,1
1837,1
1030,1
10842,0
18540,1
34780,0
31492,1
10155,1
18362,1
18525,1
30012,1
17549,1
34869,1
17426,1
26807,0
31309,1
14312,0
22766,1
16446,1
21057,1
26789,1
10747,1
9052,1
12591,1
15661,0
11423,1
22459,0
23103,1
23112,1
35512,0
23122,1
20387,0
600,1
1818,1
21894,1
32843,0
22329,1
38956,1
11818,0
22263,1
15379,1
31457,0
21478,1
39075,0
21531,1
10129,0
16473,1
19951,1
5779,0
10646,1
30332,0
12971,1
9498,1
9086,1
38778,1
7798,0
19860,1
3391,1
34897,0
31837,1
4548,1
17137,0
21231,0
23782,0
3478,0
35709,0
23759,0
24833,0
665,0
9726,0
34936,0
35545,1
21580,1
12586,0
8160,0
18539,1
4040,1
29959,1
18871,0
10244,0
35897,1
16385,1
25119,0
25436,1
1465,1
17528,1
35081,1
27016,1
23435,0
1493,1
23442,0
10808,0
26631,0
19855,1
22596,0
34099,1
10772,0
3338,1
38006,1
3348,1
19501,1
29740,1
23515,1
37481,1
23516,1
7067,0
8737,1
10448,0
37283,1
38429,1
24629,1
15715,1
25059,1
10652,0
17756,1
31587,1
1674,0
25558,1
17605,1
9330,0
9057,0
26958,1
14340,0
12403,0
7815,1
32004,1
12283,0
24549,1
21532,1
14152,1
23619,0
23287,0
10815,0
11873,1
36118,1
30807,1
18953,1
12736,1
14036,1
2885,0
28158,1
23635,0
17485,1
5579,1
27385,0
2567,0
24918,1
35228,1
11649,0
22735,1
484,1
20951,0
3414,1
36167,1
1625,0
2750,1
3729,1
17982,1
17455,1
16075,0
29621,1
11797,0
27221,1
11262,1
24936,1
34536,0
15459,1
27603,1
7340,0
27057,0
33915,1
17494,0
29366,1
23818,1
11910,0
31477,0
30538,0
32772,0
31158,0
18389,1
24392,1
19353,1
29536,1
35482,1
9866,1
11131,0
26476,0
22505,1
23758,1
10210,0
27110,1
2262,1
13677,1
15832,0
2402,1
17483,0
2103,1
35367,1
37871,0
13248,1
21881,1
3809,1
4973,1
10231,0
37955,0
16630,1
25402,0
19755,1
5594,0
6822,0
24646,1
12926,1
13440,0
24948,0
24008,1
9042,1
8860,1
10106,0
20301,1
23152,1
22956,0
4882,1
1757,0
3930,0
31498,0
847,1
27096,1
20046,0
36543,1
29170,1
12067,1
11572,1
37329,1
35694,1
34908,1
36941,0
3972,1
28928,1
39153,1
8882,1
36816,1
1144,1
8890,1
29551,0
36130,1
22765,0
37649,1
13371,0
21803,0
7834,1
14071,0
22896,1
9627,1
20164,1
12837,1
35108,1
21682,1
20152,1
34954,1
4524,0
23615,0
31116,0
32396,0
21428,0
27114,1
7974,1
5784,0
28704,1
11637,1
9655,1
15342,1
38137,0
12093,1
719,0
30818,1
16331,0
4586,0
33683,0
39073,0
21503,1
11713,1
37189,0
1071,1
8577,1
23901,1
21432,0
6000,0
21494,1
13317,1
13325,1
25039,1
8211,1
7466,1
5876,1
19015,1
32249,1
11878,0
16900,1
37296,0
22205,1
19213,1
23301,1
31095,0
21258,0
18306,1
8178,1
28301,0
16705,1
2006,0
5819,1
27661,0
21124,1
5580,1
9781,0
15309,0
36420,1
21173,1
20470,1
8158,1
22222,1
3713,1
35966,1
35854,1
10110,1
35671,0
18238,1
12303,1
7845,1
1931,1
38812,1
11958,1
6719,0
7078,1
36688,0
34984,0
11981,1
6388,1
11437,1
31628,1
8831,0
11720,1
30418,1
5524,1
16707,1
13752,1
12085,1
32482,0
18752,0
12097,1
8109,0
1978,0
32148,1
17432,0
16565,1
15968,0
38782,1
9976,1
12171,0
17954,0
42,1
5727,1
26848,1
10277,1
18673,1
36128,1
27267,1
30653,0
39097,1
15208,0
6067,1
666,1
26468,0
35538,0
38521,1
14361,0
36879,1
31071,1
17497,0
24809,1
21137,1
27019,0
35905,0
8284,0
31631,1
34005,1
24009,1
14094,0
11915,1
19262,0
13059,0
1845,0
13011,0
20623,1
31876,1
35926,1
7992,0
20564,1
4002,0
25375,1
10847,1
16268,0
19836,1
12988,1
6414,0
19181,1
395,1
1976,1
16493,0
1065,1
2066,1
20441,0
4369,1
26622,0
285,1
25324,0
38973,1
8535,0
13364,0
16683,0
8357,1
19409,0
11072,1
20739,1
12550,0
19862,1
26903,0
25984,1
20066,1
13838,0
33590,1
4929,0
9295,1
12771,0
4784,1
33741,1
33361,0
15838,0
12354,0
35641,0
693,1
1962,1
4472,0
28262,0
27636,0
20134,1
2187,1
10526,0
18150,0
32475,1
26523,0
19763,0
19096,1
7984,1
7548,1
23311,1
4071,1
13213,1
32740,1
18720,1
8106,1
13990,0
38210,0
5172,1
13207,0
19900,1
14029,0
2900,1
19873,1
24548,1
28625,0
26347,1
31760,0
11971,1
38018,1
22779,0
12940,1
19765,1
4404,1
3974,1
38156,1
5534,1
34829,0
17512,1
36070,0
20135,1
26232,1
31729,1
22837,0
12819,1
13641,1
31108,1
19577,1
16137,1
7779,1
19095,1
13827,1
12631,1
5298,1
7813,0
3209,1
38390,0
32800,1
12913,1
18232,1
8570,0
16032,0
5175,1
35575,0
6478,1
37185,0
14339,1
35919,0
6561,1
2773,0
37904,1
2412,1
23495,1
21890,1
30834,0
5412,0
29645,1
8897,0
21630,0
19373,1
30203,1
2713,1
17714,0
37935,0
17093,1
9386,0
7706,1
5399,1
31780,1
13132,1
13851,1
29412,0
4736,0
5427,1
6358,1
16506,1
13149,1
1794,1
6708,1
30408,0
19154,1
32509,1
13179,1
20216,0
35301,1
13485,1
14366,0
8545,1
7916,0
7396,0
25747,0
10442,1
